road,tract
133,6
15,9
15,9
3,3
0,3
29,5
133,6
133,6
133,7
133,7
7,3
13,7
7,3
54,21
14,7
0,3
0,3
47,3
138,7
0,1
13,7
48,1
0,0
5,2
5,2
5,2
1,1
71,2
82,1
2,5
2,5
2,5
2,5
251,1
85,1
172,0
85,1
260,1
85,1
143,12
49,43
49,0
143,12
119,45
119,45
143,13
119,45
119,45
5,2
119,45
176,45
120,45
120,45
120,45
120,0
120,0
120,0
5,2
5,2
121,0
5,2
2,2
71,2
5,2
2,5
2,2
2,5
2,5
2,2
121,0
2,5
121,0
2,2
86,0
71,2
5,2
86,0
5,2
251,0
86,0
5,2
2,2
86,0
86,0
120,45
120,45
71,2
63,2
120,45
5,2
5,2
120,45
120,45
5,2
71,2
71,2
2,5
2,5
82,1
2,5
261,12
2,12
82,1
82,1
2,12
82,1
82,1
82,0
20,12
20,12
262,91
82,0
262,91
85,1
82,0
5,2
82,1
2,5
2,5
261,12
82,1
2,12
82,1
82,1
2,12
85,1
85,1
249,0
85,1
251,1
85,1
20,12
85,1
260,1
85,1
49,43
49,0
119,45
119,45
5,2
119,45
119,45
119,45
5,2
120,45
120,45
120,45
63,5
121,0
5,2
5,2
120,45
123,45
82,1
2,2
82,1
82,1
5,2
5,2
82,1
82,1
5,2
82,0
82,0
71,2
85,1
82,0
5,2
2,2
86,0
86,0
126,0
86,0
86,0
172,0
86,0
86,0
120,45
120,45
5,2
120,45
5,2
120,45
120,45
5,2
120,45
2,2
5,2
5,2
5,2
82,1
82,1
82,1
5,2
2,2
89,1
2,2
85,1
79,1
5,2
79,1
85,1
2,2
251,1
85,1
172,0
85,1
260,1
2,2
85,1
85,43
49,43
5,2
5,2
49,0
120,45
119,45
119,45
119,45
5,2
119,45
119,45
120,45
120,45
120,0
5,2
5,2
86,0
126,0
5,2
5,2
86,0
86,0
249,0
86,0
2,2
86,0
86,0
2,5
5,2
5,2
120,45
120,45
5,2
120,45
5,2
120,45
263,2
120,45
264,2
120,45
120,45
120,45
5,2
120,45
266,92
266,92
267,92
266,92
82,1
268,92
269,92
82,1
268,92
82,1
268,92
270,92
82,1
82,0
271,92
272,94
273,94
270,92
274,92
82,0
85,1
82,0
82,1
273,94
82,1
270,92
82,1
82,1
273,94
270,92
1,1
270,92
270,92
275,95
82,1
273,95
82,1
270,92
82,1
273,95
273,95
276,95
276,95
277,92
279,96
277,92
279,96
279,96
279,96
279,96
51,1
51,1
51,1
51,1
280,92
1,1
280,92
280,92
281,92
51,1
279,97
128,1
1,1
279,96
282,96
51,1
279,96
279,96
279,96
279,96
279,96
279,96
279,96
82,1
82,1
280,92
82,1
280,92
82,1
280,92
280,92
82,1
266,92
268,92
283,92
249,0
85,1
270,92
172,0
270,92
85,1
284,92
85,1
85,1
85,43
49,43
273,94
285,94
119,45
273,94
286,92
119,45
119,45
270,92
119,45
270,92
120,45
270,92
120,0
120,0
120,0
121,0
287,95
288,95
121,0
287,95
287,95
287,95
287,95
289,98
289,98
120,45
120,45
289,2
120,45
121,0
287,95
290,98
287,99
290,98
287,99
120,45
120,45
289,2
120,45
120,45
289,2
291,2
292,2
293,98
293,98
294,98
120,45
296,100
120,45
82,1
82,1
296,2
297,2
297,2
296,2
298,2
296,2
300,2
296,2
301,2
82,1
302,2
82,1
303,2
304,2
82,1
82,0
82,0
305,91
85,1
82,0
304,2
86,0
305,91
304,2
86,0
126,0
86,0
305,91
86,0
86,0
172,0
262,91
86,0
305,12
120,45
20,12
20,12
20,12
20,12
127,1
20,12
51,1
51,1
20,12
20,85
20,85
82,1
20,85
20,85
306,5
51,22
306,5
30,22
306,5
30,22
13,7
